neural_network.py 

k = 50
lr = 0.005
num_epoch = 40
==========================WITHOUT REGULARIZER=========================
Epoch: 0 	Training Cost: 14050.792969	 Valid Acc: 0.5660457239627434
Epoch: 1 	Training Cost: 13296.881836	 Valid Acc: 0.6021732994637313
Epoch: 2 	Training Cost: 12791.043945	 Valid Acc: 0.6158622636184025
Epoch: 3 	Training Cost: 12498.090820	 Valid Acc: 0.6182613604290149
Epoch: 4 	Training Cost: 12339.491211	 Valid Acc: 0.6213660739486311
Epoch: 5 	Training Cost: 12241.879883	 Valid Acc: 0.6230595540502399
Epoch: 6 	Training Cost: 12168.358398	 Valid Acc: 0.6239062941010444
Epoch: 7 	Training Cost: 12103.567383	 Valid Acc: 0.6250352808354502
Epoch: 8 	Training Cost: 12041.597656	 Valid Acc: 0.6250352808354502
Epoch: 9 	Training Cost: 11980.243164	 Valid Acc: 0.6257408975444538
Epoch: 10 	Training Cost: 11918.595703	 Valid Acc: 0.626728760937059
Epoch: 11 	Training Cost: 11856.184570	 Valid Acc: 0.6292689810894722
Epoch: 12 	Training Cost: 11792.717773	 Valid Acc: 0.6299745977984759
Epoch: 13 	Training Cost: 11728.002930	 Valid Acc: 0.6312447078746825
Epoch: 14 	Training Cost: 11661.923828	 Valid Acc: 0.6336438046852949
Epoch: 15 	Training Cost: 11594.419922	 Valid Acc: 0.6349139147615016
Epoch: 16 	Training Cost: 11525.487305	 Valid Acc: 0.6367485182049111
Epoch: 17 	Training Cost: 11455.166016	 Valid Acc: 0.6384419983065199
Epoch: 18 	Training Cost: 11383.541016	 Valid Acc: 0.6383008749647192
Epoch: 19 	Training Cost: 11310.733398	 Valid Acc: 0.6392887383573242
Epoch: 20 	Training Cost: 11236.894531	 Valid Acc: 0.6416878351679368
Epoch: 21 	Training Cost: 11162.193359	 Valid Acc: 0.6440869319785493
Epoch: 22 	Training Cost: 11086.817383	 Valid Acc: 0.6450747953711544
Epoch: 23 	Training Cost: 11010.958008	 Valid Acc: 0.6467682754727632
Epoch: 24 	Training Cost: 10934.804688	 Valid Acc: 0.6493084956251765
Epoch: 25 	Training Cost: 10858.541992	 Valid Acc: 0.6512842224103866
Epoch: 26 	Training Cost: 10782.340820	 Valid Acc: 0.6521309624611911
Epoch: 27 	Training Cost: 10706.359375	 Valid Acc: 0.6545300592718035
Epoch: 28 	Training Cost: 10630.741211	 Valid Acc: 0.6558001693480101
Epoch: 29 	Training Cost: 10555.609375	 Valid Acc: 0.6577758961332204
Epoch: 30 	Training Cost: 10481.071289	 Valid Acc: 0.6603161162856337
Epoch: 31 	Training Cost: 10407.216797	 Valid Acc: 0.6634208298052497
Epoch: 32 	Training Cost: 10334.120117	 Valid Acc: 0.66539655659046
Epoch: 33 	Training Cost: 10261.837891	 Valid Acc: 0.6676545300592718
Epoch: 34 	Training Cost: 10190.413086	 Valid Acc: 0.6685012701100762
Epoch: 35 	Training Cost: 10119.873047	 Valid Acc: 0.6706181202370872
Epoch: 36 	Training Cost: 10050.234375	 Valid Acc: 0.6710414902624894
Epoch: 37 	Training Cost: 9981.501953	 Valid Acc: 0.6732994637313011
Epoch: 38 	Training Cost: 9913.672852	 Valid Acc: 0.67499294383291
Epoch: 39 	Training Cost: 9846.733398	 Valid Acc: 0.6754163138583121
Validation Acc: 0.675416	Test Acc: 0.679368
===========================WITH REGULARIZER===========================
Epoch: 0 	Training Cost: 9781.271484	 Valid Acc: 0.6761219305673158
Epoch: 1 	Training Cost: 9716.064453	 Valid Acc: 0.6775331639853232
Epoch: 2 	Training Cost: 9651.681641	 Valid Acc: 0.6789443974033305
Epoch: 3 	Training Cost: 9588.091797	 Valid Acc: 0.6790855207451313
Epoch: 4 	Training Cost: 9525.265625	 Valid Acc: 0.6789443974033305
Epoch: 5 	Training Cost: 9463.174805	 Valid Acc: 0.6790855207451313
Epoch: 6 	Training Cost: 9401.789062	 Valid Acc: 0.6793677674287327
Epoch: 7 	Training Cost: 9341.081055	 Valid Acc: 0.6797911374541349
Epoch: 8 	Training Cost: 9281.024414	 Valid Acc: 0.68077900084674
Epoch: 9 	Training Cost: 9221.593750	 Valid Acc: 0.6810612475303415
Epoch: 10 	Training Cost: 9162.765625	 Valid Acc: 0.6812023708721423
Epoch: 11 	Training Cost: 9104.518555	 Valid Acc: 0.68077900084674
Epoch: 12 	Training Cost: 9046.831055	 Valid Acc: 0.6816257408975445
Epoch: 13 	Training Cost: 8989.683594	 Valid Acc: 0.6824724809483489
Epoch: 14 	Training Cost: 8933.058594	 Valid Acc: 0.6823313576065482
Epoch: 15 	Training Cost: 8876.939453	 Valid Acc: 0.6826136042901496
Epoch: 16 	Training Cost: 8821.310547	 Valid Acc: 0.6814846175557437
Epoch: 17 	Training Cost: 8766.155273	 Valid Acc: 0.68077900084674
Epoch: 18 	Training Cost: 8711.461914	 Valid Acc: 0.6803556308213379
Epoch: 19 	Training Cost: 8657.218750	 Valid Acc: 0.6806378775049393
Epoch: 20 	Training Cost: 8603.411133	 Valid Acc: 0.6799322607959356
Epoch: 21 	Training Cost: 8550.032227	 Valid Acc: 0.6797911374541349
Epoch: 22 	Training Cost: 8497.070312	 Valid Acc: 0.6803556308213379
Epoch: 23 	Training Cost: 8444.518555	 Valid Acc: 0.68077900084674
Epoch: 24 	Training Cost: 8392.367188	 Valid Acc: 0.6816257408975445
Epoch: 25 	Training Cost: 8340.611328	 Valid Acc: 0.6814846175557437
Epoch: 26 	Training Cost: 8289.244141	 Valid Acc: 0.6817668642393452
Epoch: 27 	Training Cost: 8238.260742	 Valid Acc: 0.6821902342647473
Epoch: 28 	Training Cost: 8187.653809	 Valid Acc: 0.681343494213943
Epoch: 29 	Training Cost: 8137.420410	 Valid Acc: 0.6819079875811459
Epoch: 30 	Training Cost: 8087.554199	 Valid Acc: 0.6826136042901496
Epoch: 31 	Training Cost: 8038.051270	 Valid Acc: 0.6826136042901496
Epoch: 32 	Training Cost: 7988.906738	 Valid Acc: 0.6824724809483489
Epoch: 33 	Training Cost: 7940.116211	 Valid Acc: 0.6823313576065482
Epoch: 34 	Training Cost: 7891.676270	 Valid Acc: 0.6827547276319503
Epoch: 35 	Training Cost: 7843.581543	 Valid Acc: 0.6824724809483489
Epoch: 36 	Training Cost: 7795.828613	 Valid Acc: 0.6824724809483489
Epoch: 37 	Training Cost: 7748.413574	 Valid Acc: 0.6821902342647473
Epoch: 38 	Training Cost: 7701.333496	 Valid Acc: 0.6817668642393452
Epoch: 39 	Training Cost: 7654.584961	 Valid Acc: 0.6819079875811459
Lambda: 0.001 	Validation Acc: 0.681908	Test Acc: 0.682755
----------------------------------------------------------------------
Epoch: 0 	Training Cost: 7619.050781	 Valid Acc: 0.6819079875811459
Epoch: 1 	Training Cost: 7573.112793	 Valid Acc: 0.6816257408975445
Epoch: 2 	Training Cost: 7527.497559	 Valid Acc: 0.681343494213943
Epoch: 3 	Training Cost: 7482.201172	 Valid Acc: 0.6804967541631386
Epoch: 4 	Training Cost: 7437.221680	 Valid Acc: 0.6803556308213379
Epoch: 5 	Training Cost: 7392.556641	 Valid Acc: 0.6806378775049393
Epoch: 6 	Training Cost: 7348.205078	 Valid Acc: 0.6799322607959356
Epoch: 7 	Training Cost: 7304.167480	 Valid Acc: 0.6804967541631386
Epoch: 8 	Training Cost: 7260.443848	 Valid Acc: 0.6803556308213379
Epoch: 9 	Training Cost: 7217.033691	 Valid Acc: 0.6806378775049393
Epoch: 10 	Training Cost: 7173.937012	 Valid Acc: 0.6803556308213379
Epoch: 11 	Training Cost: 7131.153320	 Valid Acc: 0.6800733841377364
Epoch: 12 	Training Cost: 7088.680176	 Valid Acc: 0.6796500141123342
Epoch: 13 	Training Cost: 7046.517090	 Valid Acc: 0.6800733841377364
Epoch: 14 	Training Cost: 7004.661621	 Valid Acc: 0.6803556308213379
Epoch: 15 	Training Cost: 6963.111816	 Valid Acc: 0.68077900084674
Epoch: 16 	Training Cost: 6921.866211	 Valid Acc: 0.6799322607959356
Epoch: 17 	Training Cost: 6880.923340	 Valid Acc: 0.6803556308213379
Epoch: 18 	Training Cost: 6840.279297	 Valid Acc: 0.68077900084674
Epoch: 19 	Training Cost: 6799.933105	 Valid Acc: 0.6810612475303415
Epoch: 20 	Training Cost: 6759.882324	 Valid Acc: 0.6809201241885408
Epoch: 21 	Training Cost: 6720.125000	 Valid Acc: 0.6810612475303415
Epoch: 22 	Training Cost: 6680.658203	 Valid Acc: 0.6814846175557437
Epoch: 23 	Training Cost: 6641.479980	 Valid Acc: 0.681343494213943
Epoch: 24 	Training Cost: 6602.587402	 Valid Acc: 0.6814846175557437
Epoch: 25 	Training Cost: 6563.978027	 Valid Acc: 0.6812023708721423
Epoch: 26 	Training Cost: 6525.649902	 Valid Acc: 0.68077900084674
Epoch: 27 	Training Cost: 6487.600586	 Valid Acc: 0.6802145074795372
Epoch: 28 	Training Cost: 6449.827148	 Valid Acc: 0.6796500141123342
Epoch: 29 	Training Cost: 6412.329102	 Valid Acc: 0.6795088907705334
Epoch: 30 	Training Cost: 6375.103027	 Valid Acc: 0.679226644086932
Epoch: 31 	Training Cost: 6338.146973	 Valid Acc: 0.6796500141123342
Epoch: 32 	Training Cost: 6301.460449	 Valid Acc: 0.6800733841377364
Epoch: 33 	Training Cost: 6265.040039	 Valid Acc: 0.6804967541631386
Epoch: 34 	Training Cost: 6228.885254	 Valid Acc: 0.6802145074795372
Epoch: 35 	Training Cost: 6192.993652	 Valid Acc: 0.6804967541631386
Epoch: 36 	Training Cost: 6157.363770	 Valid Acc: 0.6802145074795372
Epoch: 37 	Training Cost: 6121.993164	 Valid Acc: 0.6796500141123342
Epoch: 38 	Training Cost: 6086.880859	 Valid Acc: 0.6796500141123342
Epoch: 39 	Training Cost: 6052.023438	 Valid Acc: 0.6789443974033305
Lambda: 0.01 	Validation Acc: 0.678944	Test Acc: 0.678521
----------------------------------------------------------------------
Epoch: 0 	Training Cost: 6195.388672	 Valid Acc: 0.6788032740615297
Epoch: 1 	Training Cost: 6162.885254	 Valid Acc: 0.6779565340107254
Epoch: 2 	Training Cost: 6130.636719	 Valid Acc: 0.6776742873271239
Epoch: 3 	Training Cost: 6098.642090	 Valid Acc: 0.6772509173017217
Epoch: 4 	Training Cost: 6066.899414	 Valid Acc: 0.6766864239345187
Epoch: 5 	Training Cost: 6035.408203	 Valid Acc: 0.676545300592718
Epoch: 6 	Training Cost: 6004.166992	 Valid Acc: 0.6762630539091166
Epoch: 7 	Training Cost: 5973.175293	 Valid Acc: 0.6762630539091166
Epoch: 8 	Training Cost: 5942.430176	 Valid Acc: 0.6758396838837144
Epoch: 9 	Training Cost: 5911.930176	 Valid Acc: 0.6754163138583121
Epoch: 10 	Training Cost: 5881.672852	 Valid Acc: 0.6751340671747107
Epoch: 11 	Training Cost: 5851.655273	 Valid Acc: 0.67499294383291
Epoch: 12 	Training Cost: 5821.875000	 Valid Acc: 0.6759808072255151
Epoch: 13 	Training Cost: 5792.329590	 Valid Acc: 0.6759808072255151
Epoch: 14 	Training Cost: 5763.016602	 Valid Acc: 0.6761219305673158
Epoch: 15 	Training Cost: 5733.932617	 Valid Acc: 0.6764041772509173
Epoch: 16 	Training Cost: 5705.076660	 Valid Acc: 0.6768275472763196
Epoch: 17 	Training Cost: 5676.444336	 Valid Acc: 0.6764041772509173
Epoch: 18 	Training Cost: 5648.035156	 Valid Acc: 0.6764041772509173
Epoch: 19 	Training Cost: 5619.847168	 Valid Acc: 0.676545300592718
Epoch: 20 	Training Cost: 5591.878906	 Valid Acc: 0.6764041772509173
Epoch: 21 	Training Cost: 5564.129883	 Valid Acc: 0.676545300592718
Epoch: 22 	Training Cost: 5536.598145	 Valid Acc: 0.6762630539091166
Epoch: 23 	Training Cost: 5509.284180	 Valid Acc: 0.6758396838837144
Epoch: 24 	Training Cost: 5482.186523	 Valid Acc: 0.6762630539091166
Epoch: 25 	Training Cost: 5455.302734	 Valid Acc: 0.6762630539091166
Epoch: 26 	Training Cost: 5428.632812	 Valid Acc: 0.6756985605419137
