neural_network.py 

k = 50
lr = 0.005
num_epoch = 50

==========================WITHOUT REGULARIZER=========================
Epoch: 0 	Training Cost: 14107.685547	 Valid Acc: 0.5774767146486028
Epoch: 1 	Training Cost: 13339.875000	 Valid Acc: 0.6145921535421959
Epoch: 2 	Training Cost: 12817.362305	 Valid Acc: 0.6208015805814282
Epoch: 3 	Training Cost: 12510.458984	 Valid Acc: 0.6208015805814282
Epoch: 4 	Training Cost: 12343.040039	 Valid Acc: 0.6271521309624611
Epoch: 5 	Training Cost: 12240.185547	 Valid Acc: 0.6271521309624611
Epoch: 6 	Training Cost: 12163.293945	 Valid Acc: 0.6265876375952583
Epoch: 7 	Training Cost: 12095.973633	 Valid Acc: 0.626728760937059
Epoch: 8 	Training Cost: 12031.789062	 Valid Acc: 0.6289867344058707
Epoch: 9 	Training Cost: 11968.296875	 Valid Acc: 0.6301157211402766
Epoch: 10 	Training Cost: 11904.482422	 Valid Acc: 0.6301157211402766
Epoch: 11 	Training Cost: 11839.806641	 Valid Acc: 0.6311035845328817
Epoch: 12 	Training Cost: 11773.916016	 Valid Acc: 0.6326559412926898
Epoch: 13 	Training Cost: 11706.564453	 Valid Acc: 0.6346316680779001
Epoch: 14 	Training Cost: 11637.605469	 Valid Acc: 0.6340671747106972
Epoch: 15 	Training Cost: 11566.981445	 Valid Acc: 0.6363251481795089
Epoch: 16 	Training Cost: 11494.720703	 Valid Acc: 0.6373130115721141
Epoch: 17 	Training Cost: 11420.926758	 Valid Acc: 0.6406999717753317
Epoch: 18 	Training Cost: 11345.762695	 Valid Acc: 0.6414055884843353
Epoch: 19 	Training Cost: 11269.439453	 Valid Acc: 0.643663561953147
Epoch: 20 	Training Cost: 11192.191406	 Valid Acc: 0.6462037821055603
Epoch: 21 	Training Cost: 11114.271484	 Valid Acc: 0.647897262207169
Epoch: 22 	Training Cost: 11035.931641	 Valid Acc: 0.65001411233418
Epoch: 23 	Training Cost: 10957.416992	 Valid Acc: 0.6528365791701948
Epoch: 24 	Training Cost: 10878.956055	 Valid Acc: 0.655376799322608
Epoch: 25 	Training Cost: 10800.759766	 Valid Acc: 0.6570702794242168
Epoch: 26 	Training Cost: 10723.012695	 Valid Acc: 0.6583403895004234
Epoch: 27 	Training Cost: 10645.875000	 Valid Acc: 0.6600338696020321
Epoch: 28 	Training Cost: 10569.481445	 Valid Acc: 0.6615862263618403
Epoch: 29 	Training Cost: 10493.940430	 Valid Acc: 0.6637030764888513
Epoch: 30 	Training Cost: 10419.333008	 Valid Acc: 0.6644086931978549
Epoch: 31 	Training Cost: 10345.718750	 Valid Acc: 0.6656788032740615
Epoch: 32 	Training Cost: 10273.133789	 Valid Acc: 0.6669489133502682
Epoch: 33 	Training Cost: 10201.598633	 Valid Acc: 0.6672311600338696
Epoch: 34 	Training Cost: 10131.117188	 Valid Acc: 0.6686423934518769
Epoch: 35 	Training Cost: 10061.679688	 Valid Acc: 0.6690657634772792
Epoch: 36 	Training Cost: 9993.267578	 Valid Acc: 0.6700536268698842
Epoch: 37 	Training Cost: 9925.855469	 Valid Acc: 0.6714648602878917
Epoch: 38 	Training Cost: 9859.410156	 Valid Acc: 0.672311600338696
Epoch: 39 	Training Cost: 9793.898438	 Valid Acc: 0.674428450465707
Epoch: 40 	Training Cost: 9729.282227	 Valid Acc: 0.6745695738075078
Epoch: 41 	Training Cost: 9665.523438	 Valid Acc: 0.6756985605419137
Epoch: 42 	Training Cost: 9602.583008	 Valid Acc: 0.6761219305673158
Epoch: 43 	Training Cost: 9540.421875	 Valid Acc: 0.6769686706181203
Epoch: 44 	Training Cost: 9479.001953	 Valid Acc: 0.6764041772509173
Epoch: 45 	Training Cost: 9418.289062	 Valid Acc: 0.6772509173017217
Epoch: 46 	Training Cost: 9358.247070	 Valid Acc: 0.678662150719729
Epoch: 47 	Training Cost: 9298.844727	 Valid Acc: 0.6790855207451313
Epoch: 48 	Training Cost: 9240.050781	 Valid Acc: 0.6793677674287327
Epoch: 49 	Training Cost: 9181.836914	 Valid Acc: 0.6804967541631386
Validation Acc: 0.680497	Test Acc: 0.682472
===========================WITH REGULARIZER===========================
Epoch: 0 	Training Cost: 9124.916016	 Valid Acc: 0.6819079875811459
